step	level	max error	mean error	time
0	0	0.00558738	0.000814908	0.113589
0	1	0.00161103	0.000289172	0.207044
0	2	0.00160456	0.000241495	0.30165
0	3	0.00163573	0.000415442	0.400005
0	4	0.00102847	0.000228988	0.495907
0	5	0.00100252	0.00010458	0.588754
0	6	0.000518938	8.06385e-005	0.68181
0	7	0.000637153	0.000111165	0.78777
0	8	0.00046034	6.67196e-005	0.881532
0	9	0.000203548	3.70393e-005	0.975242
0	10	0.000215028	3.48825e-005	1.07399
0	11	0.000179114	3.04147e-005	1.17228
0	12	0.000182853	2.95026e-005	1.26852
0	13	0.00019327	2.43118e-005	1.36607
0	14	0.00010375	2.15122e-005	1.46282
0	15	9.9574e-005	1.69902e-005	1.55769
