step	level	max error	mean error	time
0	0	14.8603	1.35636	0.002999	2
0	0	2.07749	0.188337	0.006035	4
0	0	3.77345	0.235413	0.010035	6
0	0	0.412009	0.0445155	0.014	8
0	0	0.248324	0.0339799	0.020003	10
0	1	0.27366	0.0470476	0.021003	2
0	1	0.369509	0.0430531	0.02301	4
0	1	0.144417	0.0344582	0.027004	6
0	1	0.0909123	0.0306529	0.031001	8
0	2	0.169876	0.0590179	0.03202	2
0	2	14.7245	0.827749	0.035003	4
0	2	4.32595	0.18754	0.038005	6
0	2	2.72198	0.0943187	0.04101	8
0	2	0.63861	0.0225711	0.046008	10
0	2	0.354237	0.00977563	0.051003	12
0	2	0.0755878	0.00393867	0.056005	14
0	2	0.0520857	0.00288321	0.062003	16
0	2	0.0251888	0.00247237	0.071003	18
0	3	0.0446044	0.00728087	0.072006	2
0	3	0.0725339	0.00773935	0.074008	4
0	3	0.0748512	0.0119147	0.077019	6
0	3	0.035405	0.00239947	0.082004	8
0	3	0.0360373	0.00268384	0.086004	10
0	3	0.0270887	0.00251416	0.090002	12
0	3	0.016779	0.00259189	0.098002	14
0	3	0.019116	0.00236622	0.105003	16
0	3	0.0156881	0.00178721	0.112003	18
0	3	0.0146936	0.00158824	0.120003	20
0	3	0.00941414	0.00173073	0.129013	22
0	4	0.025187	0.00229034	0.132005	2
0	4	0.0213535	0.00430051	0.135016	4
0	4	0.0124986	0.00171178	0.139004	6
0	4	0.0124301	0.00174471	0.143001	8
0	4	0.0142803	0.00209296	0.147002	10
0	4	0.00922095	0.00179393	0.153001	12
0	4	0.00904238	0.00157512	0.159008	14
0	4	0.00815551	0.00140009	0.166001	16
0	4	0.00744631	0.00139952	0.172	18
0	4	0.00804934	0.00149002	0.180001	20
0	4	0.00534082	0.00147723	0.188007	22
0	4	0.00599383	0.00202308	0.197001	24
0	4	0.00811737	0.00185337	0.206999	26
0	4	0.00839548	0.00154386	0.219002	28
0	4	0.00413638	0.000368193	0.23	30
0	5	0.00472957	0.00103479	0.232019	2
0	5	0.00919823	0.000895196	0.234016	4
0	5	0.00619272	0.000651357	0.237005	6
0	5	0.00845515	0.00114639	0.242	8
0	5	0.00699278	0.00081896	0.24704	10
0	5	0.004927	0.000612746	0.252	12
0	5	0.00729587	0.000453295	0.257035	14
0	5	0.00340895	0.000485799	0.265033	16
0	5	0.00289191	0.000400446	0.273034	18
0	5	0.0026756	0.000384476	0.281007	20
0	5	0.00260969	0.000344667	0.290035	22
0	5	0.00227067	0.000333482	0.300007	24
0	5	0.00280057	0.00032244	0.312011	26
0	5	0.00172741	0.000315315	0.324011	28
0	6	0.00300711	0.000400597	0.326004	2
0	6	0.00484973	0.00069617	0.329002	4
0	6	0.00305559	0.000461505	0.332005	6
0	6	0.00253077	0.000378711	0.336	8
0	6	0.003367	0.000416036	0.340999	10
0	6	0.00376071	0.000422636	0.347001	12
0	6	0.00165639	0.000368243	0.353001	14
0	6	0.00162654	0.000382828	0.360001	16
0	6	0.00228085	0.000398456	0.367002	18
0	6	0.00181006	0.000399286	0.373998	20
0	6	0.00177602	0.000380321	0.382999	22
0	6	0.00162427	0.000343425	0.392005	24
0	6	0.00154673	0.000345469	0.402	26
0	6	0.00144463	0.000330457	0.411999	28
0	6	0.00136725	0.000325996	0.422999	30
0	6	0.0018112	0.000584659	0.435999	32
0	6	0.00447909	0.00111176	0.448999	34
0	6	0.00401909	0.000651569	0.462999	36
0	6	0.00140506	0.000226095	0.477999	38
0	6	0.00154895	0.000220824	0.493998	40
0	6	0.000957417	0.000212638	0.510998	42
0	6	0.00122597	0.000210445	0.527999	44
0	6	0.0014503	0.000256797	0.548044	46
0	6	0.000739521	0.000163555	0.568999	48
0	7	0.00133993	0.000407294	0.571002	2
0	7	0.0859582	0.00686764	0.575001	4
0	7	0.0148174	0.00227454	0.579008	6
0	7	0.109844	0.00377076	0.584019	8
0	7	0.0114665	0.000484492	0.588998	10
0	7	0.00437201	0.000322517	0.594999	12
0	7	0.0032715	0.000505741	0.600997	14
0	7	0.00109548	0.000195571	0.608002	16
0	7	0.000821865	0.000171054	0.615001	18
0	7	0.000793876	0.000131781	0.623002	20
0	7	0.000930325	0.000130837	0.631001	22
0	7	0.000570809	0.000126634	0.640001	24
0	7	0.000669772	0.000125878	0.650002	26
0	7	0.000831546	0.000124114	0.661004	28
0	7	0.00061682	0.000109915	0.675002	30
0	7	0.000458219	0.000106512	0.688999	32
0	7	0.000411499	0.000102426	0.703023	34
0	7	0.000465612	9.14611e-005	0.718002	36
0	7	0.000417192	6.5253e-005	0.736	38
0	7	0.00040765	6.27452e-005	0.754999	40
0	7	0.000314101	5.98391e-005	0.771997	42
0	8	0.000437756	7.63354e-005	0.774	2
0	8	0.000684598	0.000233278	0.777001	4
0	8	0.0007859	0.000192595	0.780001	6
