step	level	max error	time	nr. of control nodes
0	0	0.00367852	915	2
0	0	0.0059649	1623	4
0	0	0.00413069	2403	6
0	0	0.00453297	3141	8
0	0	0.00519181	3883	10
0	0	0.00161768	4702	12
0	0	0.00180795	5479	14
0	0	0.00187078	6388	16
0	0	0.00204364	7292	18
0	0	0.00131022	8201	20
0	0	0.00181418	9083	22
0	0	0.000947978	9906	24
0	0	0.000907942	10720	26
0	0	0.000826408	11586	28
0	0	0.000599309	12393	30
0	0	0.00065951	13246	32
0	0	0.000801931	14253	34
0	0	0.000578088	15259	36
0	0	0.0007269	16217	38
0	0	0.000584045	17061	40
0	0	0.000536612	17902	42
0	0	0.00047933	18707	44
0	0	0.000465387	19488	46
0	0	0.000480383	20281	48
0	0	0.000505585	21080	50
0	0	0.000469652	21875	52
0	0	0.000451502	22664	54
0	0	0.000446607	23498	56
0	0	0.000447628	24316	58
0	0	0.000492585	25194	60
0	0	0.000590358	26078	62
0	0	0.000523175	26918	64
0	0	0.00048265	27767	66
0	0	0.000439619	28684	68
0	0	0.000375755	29592	70
0	0	0.000383622	30564	72
0	0	0.000360186	31495	74
0	0	0.000418532	32465	76
0	0	0.000341325	33414	78
0	0	0.000358964	34445	80
0	0	0.00032276	35514	82
0	0	0.000433004	36627	84
0	0	0.000310861	37753	86
0	0	0.00029942	38966	88
0	0	0.000315212	40197	90
0	0	0.44814	41411	92
0	0	0.000311228	42581	94
0	0	0.000297667	43888	96
0	0	0.000273085	45255	98
0	0	0.000262787	46674	100
0	0	0.00025555	48138	102
0	0	0.000253475	49606	104
0	0	0.000268869	51207	106
0	0	0.000241906	52767	108
0	0	0.000239265	54399	110
0	0	0.000225149	56070	112
0	0	0.000212823	57851	114
0	0	0.000205278	59654	116
0	0	0.000211131	61543	118
0	0	0.000204058	63430	120
0	0	0.00021384	65565	122
0	0	0.000198972	67608	124
0	0	0.000198467	69747	126
0	0	0.000193073	72012	128
0	0	0.000199952	74282	130
0	0	0.000197351	76469	132
0	0	0.000178952	79512	134
0	0	0.00019015	83182	136
0	0	0.000198616	87047	138
0	0	0.00017445	90986	140
0	0	0.00019515	95002	142
0	0	0.000192777	99133	144
0	0	0.000173261	103339	146
0	0	0.000240511	107358	148
0	0	0.00020635	110992	150
0	0	0.000185967	114272	152
0	0	0.000170186	117467	154
0	0	0.000144987	120694	156
0	0	0.000186484	124118	158
0	0	0.000143319	127595	160
0	0	0.000140701	131233	162
0	0	0.000160821	135050	164
0	0	0.000151574	139013	166
0	0	0.000174118	142842	168
0	0	0.00014133	147087	170
0	0	0.000149335	151363	172
0	0	0.000190222	155509	174
0	0	0.000136796	159738	176
0	0	0.000134286	164236	178
0	0	0.000129642	168872	180
0	0	0.000150563	173597	182
0	0	0.000136304	178241	184
0	0	0.000127001	184837	186
0	0	0.00013722	192681	188
0	0	0.000124155	200452	190
0	0	0.000126138	208056	192
0	0	0.000123244	214116	194
0	0	0.000123216	219899	196
0	0	0.000122333	225807	198
0	0	0.000117198	231844	200
0	0	0.000138877	238165	202
0	0	0.000113576	244473	204
0	0	0.000110819	250910	206
0	0	0.000108129	257633	208
0	0	0.000106735	264580	210
0	0	0.000123144	273269	212
0	0	0.000101747	284539	214
0	0	0.000141804	295481	216
0	0	0.000112055	304429	218
0	0	0.000100604	312245	220
0	0	0.000100258	320266	222
0	0	9.92661e-005	328119	224
0	0	0.000148038	336125	226
0	0	0.000108588	344627	228
0	0	9.86397e-005	353493	230
0	0	9.40238e-005	362059	232
0	0	9.44049e-005	374199	234
0	0	0.00010364	385676	236
0	0	9.42533e-005	396173	238
0	0	9.12436e-005	406076	240
0	0	0.00013016	415402	242
0	0	8.99614e-005	424611	244
0	0	8.53611e-005	434349	246
0	0	9.43157e-005	444403	248
0	0	8.9992e-005	454687	250
0	0	7.98458e-005	465272	252
0	0	9.34461e-005	476108	254
0	0	7.88793e-005	487203	256
0	0	8.60091e-005	498019	258
0	0	7.67248e-005	508579	260
0	0	7.50833e-005	519512	262
0	0	0.000108801	530712	264
0	0	9.2052e-005	541946	266
0	0	7.38107e-005	553625	268
0	0	8.86578e-005	565751	270
0	0	7.16667e-005	578419	272
0	0	7.15572e-005	592118	274
0	0	6.95907e-005	607297	276
0	0	6.86244e-005	621797	278
0	0	6.83716e-005	635809	280
0	0	8.75829e-005	649702	282
0	0	6.67037e-005	664888	284
0	0	6.55335e-005	679687	286
0	0	8.0475e-005	694360	288
0	0	7.32441e-005	709633	290
0	0	6.51452e-005	725567	292
0	0	9.28688e-005	742477	294
0	0	5.97358e-005	760157	296
