step	level	max error	time	nr. of control nodes
0	0	0.00367852	815	2
0	0	0.00436057	1152	4
0	0	0.0033804	1486	6
0	0	0.00280991	1825	8
0	0	0.00135482	2162	10
0	0	0.00282727	2527	12
0	0	0.0014064	2883	14
0	0	0.00146828	3235	16
0	0	0.00116892	3592	18
0	0	0.00108336	3967	20
0	0	0.000847181	4340	22
0	0	0.000818744	4790	24
0	0	0.000890294	5193	26
0	0	0.000848783	5598	28
0	0	0.000916319	5995	30
0	0	0.000565906	6390	32
0	0	0.000738081	6806	34
0	0	0.000517193	7230	36
0	0	0.000501391	7650	38
0	0	0.000495372	8073	40
0	0	0.000485275	8508	42
0	0	0.000480862	8966	44
0	0	0.000513633	9420	46
0	0	0.000540147	9864	48
0	0	0.000408485	10335	50
0	0	0.000486134	10812	52
0	0	0.000324701	11297	54
0	0	0.000445573	11792	56
0	0	0.000324636	12268	58
0	0	0.000311553	12769	60
0	0	0.000346183	13274	62
0	0	0.000361916	13793	64
0	0	0.000280569	14341	66
0	0	0.000283359	14884	68
0	0	0.000321733	15436	70
0	0	0.000422964	16016	72
0	0	0.000286046	16594	74
0	0	0.000266923	17178	76
0	0	0.000255011	17776	78
0	0	0.000232779	18371	80
0	0	0.000271265	19000	82
0	0	0.000224653	19602	84
0	0	0.00024141	20243	86
0	0	0.000272707	20916	88
0	0	0.00023597	21590	90
0	0	0.000256025	22259	92
0	0	0.000246779	22944	94
0	0	0.000229474	23659	96
0	0	0.00023802	24358	98
0	0	0.000214476	25048	100
0	0	0.000179614	25779	102
0	0	0.000214892	26543	104
0	0	0.000181766	27315	106
0	0	0.000161458	28083	108
0	0	0.00017762	28875	110
0	0	0.000156416	29695	112
0	0	0.000174701	30529	114
0	0	0.000185457	31369	116
0	0	0.000155344	32208	118
0	0	0.0001771	33063	120
0	0	0.000159886	33956	122
0	0	0.000153688	34864	124
0	0	0.000156387	35778	126
0	0	0.000158287	36709	128
0	0	0.000162083	37669	130
0	0	0.000139391	38657	132
0	0	0.00014135	39675	134
0	0	0.000137571	40729	136
0	0	0.000135413	41798	138
0	0	0.000135667	42836	140
0	0	0.000131716	43897	142
0	0	0.000134415	44991	144
