step	level	max error	time	nr. of control nodes
0	0	0.000881348	35	2
0	0	0.00118396	64	4
0	0	0.00264658	94	6
0	0	0.000981533	127	8
0	0	0.00109693	161	10
0	0	0.000743676	201	12
0	0	0.000553932	236	14
0	0	0.000245122	270	16
0	0	0.000225137	307	18
0	0	0.000152512	346	20
0	0	0.000109862	388	22
0	0	0.000158059	428	24
0	0	7.06122e-005	472	26
0	0	8.54649e-005	515	28
0	0	5.69715e-005	566	30
0	0	4.54868e-005	617	32
0	0	5.01643e-005	666	34
0	0	4.38003e-005	717	36
0	0	3.07947e-005	774	38
0	0	2.74086e-005	825	40
0	0	2.50575e-005	883	42
0	0	2.036e-005	939	44
0	0	1.97995e-005	1002	46
0	0	2.15032e-005	1070	48
0	0	1.29099e-005	1134	50
0	0	1.21424e-005	1206	52
0	0	9.07297e-006	1274	54
0	0	8.42095e-006	1344	56
0	0	6.80729e-006	1422	58
1	0	1.02629e-005	10216	58
1	0	1.0345e-005	10287	60
1	0	7.86495e-006	10364	62
1	0	8.95741e-006	10452	64
1	0	6.3169e-006	10545	66
