step	level	max error	mean error	time
0	0	0.00653971	0.000878026	0.108033	4
0	1	0.00234518	0.000476147	0.134995	4
0	2	0.00142514	0.000223745	0.370049	16
0	3	0.000754465	0.00011217	0.855999	24
0	4	0.000506888	0.000104948	1.21303	20
0	5	0.000285264	3.31695e-005	2.248	36
0	6	0.000219027	4.80876e-005	2.479	16
0	7	0.00016231	2.62922e-005	3.132	28
0	8	9.90477e-005	1.60499e-005	4.65099	44
0	9	7.2963e-005	1.16981e-005	5.679	36
0	10	4.8958e-005	7.32873e-006	7.77404	52
0	11	3.75238e-005	7.39889e-006	8.813	36
0	12	2.56417e-005	4.74628e-006	10.609	48
0	13	2.01418e-005	4.05187e-006	12.677	52
0	14	1.28495e-005	2.43717e-006	16.196	68
0	15	9.73955e-006	1.86721e-006	18.94	60
0	16	6.54292e-006	1.11956e-006	26.501	100
0	17	4.31077e-006	8.08169e-007	34.635	100
0	18	3.28682e-006	5.62946e-007	43.241	104
0	19	2.55277e-006	5.44139e-007	52.9	112
0	20	1.86574e-006	3.61782e-007	66.394	132
0	21	1.44295e-006	2.72765e-007	81.655	140
0	22	1.06309e-006	1.72592e-007	99.592	152
0	23	8.09259e-007	1.33773e-007	121.744	168
0	24	6.46232e-007	1.04431e-007	147.422	180
0	25	5.05782e-007	9.61622e-008	166.146	156
0	26	4.03655e-007	7.06494e-008	191.826	180
0	27	3.16045e-007	5.40471e-008	224.043	200
