step	level	max error	mean error	time
0	0	0.00391885	0.00102072	0.23403	8
0	1	0.00252232	0.000453473	0.306035	8
0	2	0.001879	0.000385259	0.37803	8
0	3	0.000948418	0.000195568	0.721041	20
0	4	0.000594177	8.2368e-005	1.20503	24
0	5	0.000460957	8.48296e-005	1.68405	24
0	6	0.000309723	4.50232e-005	2.32204	28
0	7	0.000177838	3.45139e-005	2.80303	24
0	8	0.000125019	2.43847e-005	4.05605	40
0	9	9.22264e-005	1.74405e-005	5.31203	40
0	10	6.28618e-005	1.15751e-005	6.55101	40
0	11	4.43324e-005	5.9093e-006	8.93703	56
0	12	3.48525e-005	6.07482e-006	11.303	56
0	13	2.55697e-005	4.92008e-006	12.785	44
0	14	1.99616e-005	3.99766e-006	14.85	52
0	15	1.52343e-005	3.08082e-006	17.232	56
0	16	1.00083e-005	1.91093e-006	21.542	76
0	17	7.82725e-006	1.40239e-006	27.375	88
0	18	5.72332e-006	1.04132e-006	33.764	92
0	19	4.05773e-006	6.5756e-007	41.96	104
0	20	3.04926e-006	4.40227e-007	51.481	112
0	21	2.36e-006	4.46738e-007	59.621	104
0	22	1.83606e-006	3.32481e-007	71.291	124
0	23	1.44622e-006	2.38563e-007	87.169	144
0	24	1.09258e-006	2.02746e-007	103.107	144
0	25	8.32364e-007	1.51304e-007	122.859	160
0	26	6.30168e-007	1.05257e-007	149.637	184
0	27	4.7322e-007	8.54947e-008	180.503	196
0	28	3.73608e-007	6.56063e-008	213.666	204
