step	level	max error	mean error	time
0	0	0.00343945	0.000725533	0.054983	2
0	0	0.004443	0.00113554	0.111988	4
0	0	0.00540996	0.00104537	0.177988	6
0	0	0.00391885	0.00102072	0.246986	8
0	0	0.00204013	0.000463157	0.324984	10
0	0	0.00329837	0.000410786	0.404984	12
0	0	0.00274613	0.000445802	0.491985	14
0	0	0.00152066	0.000265103	0.582985	16
0	0	0.00165331	0.000176335	0.674988	18
0	0	0.0020138	0.000288947	0.771991	20
0	0	0.000893091	0.000147205	0.877987	22
0	0	0.00129185	0.00017107	0.988988	24
0	0	0.000925848	0.000129462	1.12795	26
0	0	0.000899343	0.000125263	1.28295	28
0	0	0.000501137	8.76478e-005	1.45195	30
0	0	0.000536064	7.3698e-005	1.63095	32
0	0	0.000403249	5.29595e-005	1.77999	34
0	0	0.000312881	4.4846e-005	1.92299	36
0	0	0.000289338	4.3622e-005	2.07599	38
0	0	0.000242836	4.03248e-005	2.23199	40
0	0	0.000314996	3.7688e-005	2.39499	42
0	0	0.000284068	3.68496e-005	2.56299	44
0	0	0.000212826	3.20452e-005	2.73595	46
0	0	0.000197832	2.77131e-005	2.90995	48
0	0	0.000149076	2.45945e-005	3.09095	50
0	0	0.000143926	2.16238e-005	3.27899	52
0	0	0.000128225	1.97924e-005	3.48198	54
0	0	0.000106347	1.85743e-005	3.71999	56
0	0	0.000102659	1.59487e-005	3.92499	58
0	0	9.86018e-005	1.35769e-005	4.16899	60
0	0	8.47445e-005	1.17115e-005	4.40998	62
0	0	8.71694e-005	1.02413e-005	4.64699	64
0	0	7.77307e-005	9.18996e-006	4.898	66
0	0	7.22175e-005	8.35648e-006	5.149	68
0	0	7.8719e-005	7.79721e-006	5.416	70
0	0	6.37182e-005	7.2991e-006	5.69	72
0	0	6.24002e-005	6.91537e-006	5.96701	74
0	0	6.18556e-005	6.88574e-006	6.24697	76
0	0	6.03344e-005	6.35783e-006	6.56797	78
0	0	3.58508e-005	5.08937e-006	6.861	80
0	0	3.41626e-005	4.62592e-006	7.15201	82
0	0	3.30441e-005	4.31711e-006	7.45401	84
0	0	4.20826e-005	4.02061e-006	7.80201	86
0	0	2.76393e-005	3.55426e-006	8.11502	88
0	0	2.7005e-005	3.28097e-006	8.43201	90
0	0	2.6421e-005	3.11282e-006	8.75101	92
0	0	2.36276e-005	2.6656e-006	9.083	94
0	0	1.85907e-005	2.33717e-006	9.431	96
0	0	1.85291e-005	2.16484e-006	9.776	98
0	0	1.77931e-005	2.06423e-006	10.116	100
0	0	1.6846e-005	1.97773e-006	10.475	102
0	0	1.62786e-005	1.83236e-006	10.848	104
0	0	1.5721e-005	1.69129e-006	11.221	106
0	0	1.51282e-005	1.59755e-006	11.6	108
0	0	1.64653e-005	1.54018e-006	12.006	110
0	0	1.4951e-005	1.39256e-006	12.402	112
0	0	9.48958e-006	1.34712e-006	12.821	114
