step	level	max error	mean error	time
0	0	0.00343945	0.000725533	0.05227
0	0	0.004443	0.00113554	0.109447
0	0	0.00540996	0.00104537	0.173073
0	0	0.00391885	0.00102072	0.240554
0	0	0.00204013	0.000463157	0.314833
0	0	0.00329837	0.000410786	0.394946
0	0	0.00274613	0.000445802	0.480488
0	0	0.00152066	0.000265103	0.572902
0	0	0.00165331	0.000176335	0.668906
0	0	0.0020138	0.000288947	0.770369
0	0	0.000893091	0.000147205	0.87696
0	0	0.00129185	0.00017107	0.991642
0	0	0.000925848	0.000129462	1.11392
0	0	0.000899343	0.000125263	1.25191
0	0	0.000501137	8.76478e-005	1.38266
0	0	0.000536064	7.3698e-005	1.52578
0	0	0.000536064	7.3698e-005	1.52674
0	1	0.00118033	0.000389254	1.53998
0	1	0.00100271	0.000231872	1.55574
0	1	0.00182389	0.000337613	1.57873
0	1	0.00113367	0.000286891	1.60515
0	1	0.000551473	0.00011314	1.63834
0	1	0.000577875	0.000125618	1.67729
0	1	0.000978871	0.000177341	1.7204
0	1	0.000677262	0.000108984	1.76994
0	1	0.000465306	8.79296e-005	1.8247
0	1	0.000411481	7.75795e-005	1.8841
0	1	0.000770659	0.000103688	1.9491
0	1	0.000439249	7.32857e-005	2.0225
0	1	0.000444633	6.37855e-005	2.10102
0	1	0.000429779	5.91771e-005	2.1832
0	1	0.00030781	4.70659e-005	2.27094
0	1	0.000281513	4.90723e-005	2.36494
0	1	0.000281513	4.90723e-005	2.36696
0	2	0.000492399	0.000142688	2.37699
0	2	0.000653059	0.000151549	2.39317
0	2	0.000539259	0.000113718	2.41408
0	2	0.000380346	9.11813e-005	2.44594
0	2	0.000434519	0.000109815	2.47796
0	2	0.000596731	0.000117834	2.51616
0	2	0.00045211	9.53803e-005	2.56307
0	2	0.00046526	8.55088e-005	2.613
0	2	0.000635425	8.18047e-005	2.66756
0	2	0.000349754	5.90288e-005	2.72662
0	2	0.000308035	4.49499e-005	2.79282
0	2	0.000355931	4.59472e-005	2.86228
0	2	0.000327613	3.63696e-005	2.94062
0	2	0.000291737	3.3462e-005	3.02125
0	2	0.000234199	3.29792e-005	3.11171
0	2	0.000236963	3.28653e-005	3.20527
0	2	0.000236963	3.28653e-005	3.20723
0	3	0.000449254	0.000122139	3.22053
0	3	0.000582607	0.000163054	3.23584
0	3	0.000392083	9.36003e-005	3.25784
0	3	0.000481216	9.39674e-005	3.28884
0	3	0.000355035	6.28455e-005	3.32109
0	3	0.000339192	6.58698e-005	3.35872
0	3	0.000443991	7.48047e-005	3.40386
0	3	0.000591268	6.51417e-005	3.4536
0	3	0.000217627	4.56417e-005	3.50784
0	3	0.000338777	5.17326e-005	3.56986
0	3	0.000200861	4.1322e-005	3.63989
0	3	0.000266715	4.22753e-005	3.72012
0	3	0.000245748	3.30963e-005	3.80609
0	3	0.000158111	2.87078e-005	3.8909
0	3	0.000158986	2.73096e-005	3.97987
0	3	0.000179825	2.67662e-005	4.07373
0	3	0.000179825	2.67662e-005	4.07522
0	4	0.000474769	0.000168574	4.08486
0	4	0.000501091	0.000123537	4.10175
0	4	0.0002804	8.19702e-005	4.1227
0	4	0.000290958	6.44656e-005	4.14972
0	4	0.000303382	6.56141e-005	4.18265
0	4	0.000175724	3.5629e-005	4.22325
0	4	0.000272	4.55354e-005	4.26651
0	4	0.000182923	3.83367e-005	4.3156
0	4	0.000325294	4.35463e-005	4.37341
0	4	0.000161982	3.0438e-005	4.43444
