sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	0	0	0	0	1	213	-0.0696453902986902	0.705920930935712	0.998264878607855
none	none	0	0	0	0	1	207	-0.0696453902986902	0.705920930935712	0.998264878607855
none	none	0	0	0	0	1	193	-0.0696453902986902	0.705920930935712	0.998264878607855
none	none	0	0	0	0	1	204	-0.0696453902986902	0.705920930935712	0.998264878607855
none	none	0	0	0	0	1	193	-0.0696453902986902	0.705920930935712	0.998264878607855
none	none	0	0	0	0	2	380	0.145982619267571	0.701854818921724	0.995833818647527
none	none	0	0	0	0	2	380	0.145982619267571	0.701854818921724	0.995833818647527
none	none	0	0	0	0	2	410	0.145982619267571	0.701854818921724	0.995833818647527
none	none	0	0	0	0	2	394	0.145982619267571	0.701854818921724	0.995833818647527
none	none	0	0	0	0	2	391	0.145982619267571	0.701854818921724	0.995833818647527
none	none	0	0	0	0	3	569	0.167728303108602	0.702545670894353	0.997245462372931
none	none	0	0	0	0	3	589	0.167728303108602	0.702545670894353	0.997245462372931
none	none	0	0	0	0	3	575	0.167728303108602	0.702545670894353	0.997245462372931
none	none	0	0	0	0	3	576	0.167728303108602	0.702545670894353	0.997245462372931
none	none	0	0	0	0	3	624	0.167728303108602	0.702545670894353	0.997245462372931
none	none	0	0	0	0	1	214	4.19471344374714e+269	0	8.34402696940201e-308
none	periodic	0	0	0	0	1	213	0	0	0
none	none	0	0	0	0	1	106	0	0	0
none	periodic	0	0	0	0	1	113	0	0	0
none	periodic	0	0	0	0	1	115	0	0	0
none	periodic	0	0	0	0	1	201	0	0	0
none	periodic	0	0	0	0	1	191	-0.0552376550718362	nan	0.999160130945771
none	periodic	0	0	0	0	3	601	0.146581693696895	0.717751658505866	0.999158370189454
none	periodic	0	0	0	0	3	334	nan	nan	nan
none	periodic	0	0	0	0	3	1017	nan	nan	nan
none	periodic	0	0	0	0	3	927	nan	nan	nan
none	periodic	0	0	0	0	3	1218	0.146581693696895	0.717751658505866	0.999158370189454
none	periodic	0	0	0	0	3	630	0.146581693696895	0.717751658505866	0.999158370189454
none	periodic	0	0	0	0	3	411	0.146581693696999	0.717751658505856	0.999158370189438
none	periodic	0	0	0	0	3	230	-5.394796763127e-010	nan	1.11020675316662e-014
none	periodic	0	0	0	0	3	385	0.146581693697705	0.717751658506113	0.999158370189001
none	periodic	0	0	0	0	3	571	0.146581693696998	0.717751658505875	0.999158370190459
none	periodic	0	0	0	0	3	621	0.146581693696998	0.717751658505875	0.999158370190459
none	periodic	0	0	0	0	3	671	0.146581693696998	0.717751658505875	0.999158370190459
