sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
ps	none	0	0	0	0	1	215	-0.0784390565001606	nan	0.996711720274852
none	none	0	0	0	0	1	217	-0.0595530761457834	nan	0.995364305409824
none	none	0	0	0	0	1	159	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	171	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	20	3476	0.108417616002621	0.641485183991677	0.998154772987729
ps	none	0	0	0	0	20	3375	0.149698730303871	0.655370731930694	0.998051255306731
ps	none	0	0	0	0	20	3353	0.149698730303871	0.655370731930694	0.998051255306731
ds	none	0	0	0	0	20	7201	0.183176088773253	0.660494603108865	0.997235769134228
none	periodic	0	0	0	0	20	4310	0.0643033482770285	0.650301141831498	0.996379453351867
none	fixed	0	0	0	0	20	3781	0.0643033482770285	0.650301141831498	0.996379453351867
none	fixed	0	0	0	0	20	4409	0.0643033482770285	0.650301141831498	0.996379453351867
none	periodic	0	0	0	0	20	3393	0.0643033482770285	0.650301141831498	0.996379453351867
none	fixed	0	0	0	0	20	1406	0.140345286087355	0.63978729424558	0.999484673597471
none	fixed	0	0	0	0	20	1385	0.140345286087355	0.63978729424558	0.999484673597471
ps	periodic	0	0	0	0	20	3439	0.174640391185952	0.65621873827305	0.995543390315287
ps	fixed	0	0	0	0	20	1939	0.323987405982682	0.683073202426628	0.997754257776549
ps	moving	0	0	0	0	20	1643	0.389559926049716	0.666191653078209	0.994717010903418
ds	periodic	0	0	0	0	20	8012	0.221941202125189	0.629931476670318	0.996413180471604
ds	fixed	0	0	0	0	20	3195	0.323987405982742	0.683073202426604	0.997754257776625
ds	moving	0	0	0	0	20	2199	0.389559926049751	0.666191653078228	0.994717010903473
none	none	0	0	0	0	1	169	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	166	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	181	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	202	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	166	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	168	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	162	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	169	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	166	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	164	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	171	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	164	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	170	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	183	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	182	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	178	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	171	-0.123150809652158	nan	0.995051577903885
none	none	0	0	0	0	1	170	-0.123150809652158	nan	0.995051577903885
