sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	0	0	0	0	1	174	0.594438051232779	0.838070335749254	1
none	none	0	0	0	0	1	167	0.51236193764971	0.83873739893996	0.997052914467298
none	none	0	0	0	0	1	33	0.512457198369416	0.909216777998771	0.99999502478171
none	none	0	0	0	0	1	35	0.429680643411413	0.883091035022161	0.999992563330874
ds	none	0	0	0	0	1	51	0.616205780867845	0.846254457572743	0.999789590745281
none	none	0	0	0	0	1	35	0.326375503715741	nan	inf
none	none	0	0	0	0	1	33	0.406062958322869	0.924147734175603	0.999667634888586
none	fixed	0	0	0	0	1	22	nan	nan	nan
none	fixed	0	0	0	0	1	75	0.960147568368575	0.972206595321117	0.9988023368911
none	fixed	0	0	0	0	1	75	0.960147568368575	0.972206595321117	0.9988023368911
