sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	1	1	0.001	0	1	21919	-2.26641794022112	nan	1.47104415831819
none	none	1	1	0.001	0	2	18315	0.0421136063863991	0.76516690331851	0.999970064077604
none	none	1	1	0.001	0	3	18282	0.0729089832861535	0.766522294691971	0.999955674134821
none	none	1	1	0.001	0	4	17620	0.0871544744911726	0.767862661624337	0.999976646916899
none	none	1	1	0.001	0	5	17676	0.0963846615702366	0.769597199622848	0.99968336697426
none	none	1	1	0.001	0	6	16376	0.102596651633277	0.769651082678503	0.999817864852056
none	none	1	1	0.001	0	7	17017	0.108679365974221	0.770021087553107	0.999949853512846
none	none	1	1	0.001	0	8	17464	0.11377168845148	0.769738190777845	0.999850778936778
none	none	1	1	0.001	0	9	17991	0.119064785862987	0.769020938016061	0.99980626028061
none	none	1	1	0.001	0	10	20047	0.123892579703495	0.76910590716683	0.999809331627268
none	none	1	1	0.001	0	12	24100	0.127910708452502	0.768870054849754	0.999611225890022
none	none	1	1	0.001	0	14	23051	0.128866063927093	0.76907536565996	0.99973097529746
none	none	1	1	0.001	0	16	22993	0.135565431914689	0.769131304099662	0.999879385361456
none	none	1	1	0.001	0	18	24673	0.138333566293603	0.770512113191468	0.999924197392606
none	none	1	1	0.001	0	20	26825	0.141044638074662	0.770527687240709	0.999931561012626
ps	none	1	1	0.001	0	1	10334	-0.0787296940371839	nan	0.999645743187652
ps	none	1	1	0.001	0	2	12046	0.064433497874645	0.723934676622928	0.999727989744251
ps	none	1	1	0.001	0	3	14758	0.110416408265815	0.725613529154667	0.999542955904867
ps	none	1	1	0.001	0	4	14487	0.133407528024193	0.726546236817931	0.999217147717407
ps	none	1	1	0.001	0	5	14068	0.142012799884264	0.727610069002652	0.998937551887731
ps	none	1	1	0.001	0	6	15611	0.152342162087719	0.729663029105143	0.999255941862586
ps	none	1	1	0.001	0	7	15315	0.151367539691562	0.728094875607812	0.997417617309809
ps	none	1	1	0.001	0	8	18889	0.155587393623271	0.728195060255846	0.998718596079501
ps	none	1	1	0.001	0	9	19865	0.159587456699195	0.728696691609403	0.999515420361829
ps	none	1	1	0.001	0	10	20327	0.16521171775946	0.731455428455472	0.999230467723134
ps	none	1	1	0.001	0	12	20925	0.171020001247382	0.731636912496526	0.998192410881928
ps	none	1	1	0.001	0	14	24225	0.17329784510839	0.731140691505297	0.998156345887594
ps	none	1	1	0.001	0	16	26387	0.171546553210552	0.730346366723581	0.999357491098076
ps	none	1	1	0.001	0	18	30496	0.17611598636204	0.731510581638162	0.998118530136909
ps	none	1	1	0.001	0	20	32191	0.169765104731374	0.731596275502534	0.998380430903661
ds	none	1	1	0.001	0	1	16981	-0.635183205354117	nan	5.86216293288269
ds	none	1	1	0.001	0	2	12550	0.0479236010815127	0.712376984812508	0.999733320196736
ds	none	1	1	0.001	0	3	15365	0.12071144045799	0.712873829889906	0.999728126534901
ds	none	1	1	0.001	0	4	15613	0.153313092393263	0.715299448167236	0.999674535934814
ds	none	1	1	0.001	0	5	16055	0.165881923113558	0.715488827242981	0.999206532604289
ds	none	1	1	0.001	0	6	15917	0.174243233836803	0.714816163890889	0.999344014745338
ds	none	1	1	0.001	0	7	14634	0.175948162132048	0.71447731897777	0.999041582077538
ds	none	1	1	0.001	0	8	17927	0.181941757109467	0.714501437025365	0.998026123000174
ds	none	1	1	0.001	0	9	16625	0.180172583361582	0.714857958423645	0.999005993025633
ds	none	1	1	0.001	0	10	17368	0.190517896997287	0.714695357063934	0.999680509270568
ds	none	1	1	0.001	0	12	18366	0.193026248619577	0.713088390928523	0.999042198320464
ds	none	1	1	0.001	0	14	19112	0.198562581585301	0.713397778823426	0.999575766489229
ds	none	1	1	0.001	0	16	21858	0.207235184812944	0.712431407391463	0.999376898288291
ds	none	1	1	0.001	0	18	21929	0.20630871620604	0.712249041870216	0.99957680956528
ds	none	1	1	0.001	0	20	22797	0.211015622268055	0.7124625086075	0.999158780022757
