sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	1	1	0.001	0	1	24774	-6.21599647989718	nan	5.89135697460547
none	none	1	1	0.001	0	2	36533	-3.60698935280553	0.686598962265756	5.63144346940692
none	none	1	1	0.001	0	3	34353	-3.81109741809515	0.691808183478073	20.6401102947488
none	none	1	1	0.001	0	4	34863	-4.91983210470847	0.693068048496257	6.32090024178316
none	none	1	1	0.001	0	5	30444	-1.837468446552	0.694216885868741	1.76046524603395
none	none	1	1	0.001	0	6	32842	-9.29827140471201	0.698276158678562	48.7412520837286
none	none	1	1	0.001	0	7	36121	-1.58291258640507	0.694524224754095	2.57469171943368
none	none	1	1	0.001	0	8	36829	-23.0403382831743	0.693117591085112	3.0690525610659
none	none	1	1	0.001	0	9	39634	-0.654795901970134	0.696051640153938	4.07536091643422
none	none	1	1	0.001	0	10	41656	-11.8208512138416	0.692915624685867	0.999935376213583
none	none	1	1	0.001	0	12	43560	-0.494020877311071	0.691360160985647	1.59523840554414
none	none	1	1	0.001	0	14	43308	-6.29380709475802	0.690132897730874	3.33248353443356
none	none	1	1	0.001	0	16	46505	-1.47825294612857	0.687113907450881	3.68521826766699
none	none	1	1	0.001	0	18	50819	-10.8127439483067	0.687076672273398	9.63629689646562
none	none	1	1	0.001	0	20	55055	-1.05626790143661	0.688846990454215	0.99972625711856
none	periodic	1	1	0.001	0	1	11883	-1.50680222176627	nan	0.999921565486544
none	periodic	1	1	0.001	0	2	27704	-1.94245205666749	0.683942512026328	2.49520652684279
none	periodic	1	1	0.001	0	3	24297	-0.375036680466632	0.684216456639053	1.96251845408111
none	periodic	1	1	0.001	0	4	27005	-2.4237401721182	0.685236417345567	1.18258282039908
none	periodic	1	1	0.001	0	5	29759	-0.522186069623924	0.686134522041278	8.56750022180538
none	periodic	1	1	0.001	0	6	33304	-1.1116918736463	0.684563915869744	1.77908446328719
none	periodic	1	1	0.001	0	7	32987	-22.5082327438817	0.682849419332818	29.217493155575
none	periodic	1	1	0.001	0	8	34268	-7.86748171099458	0.68165112711496	2.15100141542357
none	periodic	1	1	0.001	0	9	38540	-3.74927770533445	0.681280675062211	3.50488943340841
