sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	1	1	3e-006	0	1	57827	4.81553816589977e-008	nan	0.999984691002561
none	none	1	1	3e-006	0	2	46880	2.26108146428882e-005	nan	0.999935620107137
none	none	1	1	3e-006	0	4	51155	7.33025885868076e-008	nan	0.999852941156219
none	none	1	1	3e-006	0	6	57660	0.0391451367373694	0.877265255322444	0.999805647118217
none	none	1	1	3e-006	0	8	64561	0.0391720775053036	0.878695936328026	0.999844902542311
none	none	1	1	3e-006	0	10	62989	0.0392681123219787	0.880262280147256	0.999793223326113
none	none	1	1	3e-006	0	12	62820	0.054201206121131	0.883343149167779	0.999810252441523
none	none	1	1	3e-006	0	16	81748	0.0582849107715045	0.881798375969994	0.999858521823859
none	none	1	1	3e-006	0	20	90156	0.0588769362260362	0.880848869433823	0.999865341325637
none	none	1	1	3e-006	0	24	103977	0.0579102291639677	0.880471391219941	0.999883911968279
none	none	1	1	3e-006	0	28	108461	0.00139979674268582	nan	0.999860915909703
none	none	1	1	3e-006	0	32	109630	0.000749751557398273	nan	0.999801110647862
none	none	1	1	3e-006	0	36	109036	-0.000316553436555511	nan	0.99980570268577
ps	none	1	1	3e-006	0	1	66231	5.79340705828065e-007	nan	0.999927945672438
ps	none	1	1	3e-006	0	2	52242	3.39320777083859e-006	nan	0.999885893479056
ps	none	1	1	3e-006	0	4	56134	2.73854486883276e-006	nan	0.999852943744934
ps	none	1	1	3e-006	0	6	90177	0.0400568849377692	0.877263392342099	0.99980563751961
ps	none	1	1	3e-006	0	8	77585	0.0399588142906972	0.878703918221218	0.999784410552067
ps	none	1	1	3e-006	0	10	64098	0.0399873528374214	0.88025400525846	0.999793209931253
ps	none	1	1	3e-006	0	12	67059	0.0568291993474909	0.883326192233514	0.999810243139766
ps	none	1	1	3e-006	0	16	76088	0.0567191407491531	0.881805990577955	0.9998585185938
ps	none	1	1	3e-006	0	20	100561	0.0594979511180479	0.880856534032609	0.999865340940995
ps	none	1	1	3e-006	0	24	114920	0.059016919531382	0.880477344950586	0.999883912528318
ps	none	1	1	3e-006	0	28	121431	0.00190313965321271	nan	0.999860912634749
ps	none	1	1	3e-006	0	32	117100	0.00932196317485038	nan	0.999801112494715
ps	none	1	1	3e-006	0	36	129936	-0.0033004595491506	nan	0.999805704844481
ds	none	1	1	3e-006	0	1	128513	5.78817561518267e-007	nan	0.999928215530654
ds	none	1	1	3e-006	0	2	76453	3.38702893794784e-006	nan	0.999885886858095
ds	none	1	1	3e-006	0	4	67129	2.73882002760824e-006	nan	0.999852953801817
ds	none	1	1	3e-006	0	6	65288	0.0400568844593114	0.877263390639175	0.999805640142262
ds	none	1	1	3e-006	0	8	68732	0.0399588144775837	0.87870391670448	0.999784415926099
ds	none	1	1	3e-006	0	10	72383	0.0399873534145451	0.880254003580237	0.999793214479876
ds	none	1	1	3e-006	0	12	69961	0.0568291996305377	0.883326190917158	0.999810243344892
ds	none	1	1	3e-006	0	16	76772	0.0567191403682942	0.881805997433589	0.999858555762172
ds	none	1	1	3e-006	0	20	94410	0.0594979506456109	0.880856541353109	0.999865341912765
ds	none	1	1	3e-006	0	24	113914	0.0590169187239345	0.880477350385769	0.999883911692933
ds	none	1	1	3e-006	0	28	105195	0.00190314097205691	nan	0.99986095014802
ds	none	1	1	3e-006	0	32	113207	0.00932197464447842	nan	0.999801151092538
ds	none	1	1	3e-006	0	36	119594	-0.00330059890430711	nan	0.999805742105013
ps	none	1	1	3e-006	0	20	96665	0.0594979511180479	0.880856534032609	0.999865340940995
ps	periodic	1	1	3e-006	0	20	40117	0.0145490818967894	0.694734255467012	0.999243428063795
ps	fixed	1	1	3e-006	0	20	42079	0.0145489979914847	0.694738897295298	0.999243428063795
ps	moving	1	1	3e-006	0	20	42146	0.0145489979914847	0.694738901226103	0.999243428063795
none	none	1	1	3e-006	0	20	94730	0.0588769362260362	0.880848869433823	0.999865341325637
none	none	1	1	1e-006	0	1	9395	0.305207453441451	0.945978338525654	0.999998643368478
none	none	1	1	1e-006	0	1	128775	5.13392460945516e-005	nan	0.99991607322326
none	none	1	1	1e-006	0	20	205102	0.0386603200762154	0.884241058066568	0.999998272394423
none	none	1	1	1e-006	0	30	45582	0.370574585892445	0.948044894454448	0.999993625971363
