sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
ps	moving	1	1	0.001	0	1	15338	0.661423434972665	0.895794579676495	0.996288116939431
ps	moving	1	1	0.001	0	1	15714	0.661423434972665	0.895794579676495	0.996288116939431
ps	moving	1	1	6.213e-005	0	1	306586	0.608592015425766	0.889220400703403	0.997856853515886
ps	moving	1	1	6.213e-005	0	1	294543	0.608592015425766	0.889220400703403	0.997856853515886
ps	moving	1	1	0.01	0	20	240110	0.751698276768113	0.909643819562503	0.989106702171658
ps	moving	1	1	0.0006213	0	1	29091	0.668385681702416	0.893418892707452	0.997245704100423
ps	moving	1	1	0.006213	0	10	89512	0.739537681657242	0.908052307906286	0.98984284278032
ps	moving	1	1	0.0031065	0	10	84683	0.739537681657242	0.908052307906286	0.98984284278032
ds	moving	1	1	0.0031065	0	10	32523	0.713705059385946	0.905950494525593	0.992020847971657
ps	moving	1	1	0.0031065	0	10	84809	0.739537681657242	0.908052307906286	0.98984284278032
ps	moving	1	1	6.213e-005	0	1	307608	0.608592015425766	0.889220400703403	0.997856853515886
ds	moving	1	1	6.213e-005	0	1	872119	0.614069292345276	0.889421868531208	0.997305221349967
