sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	1	1	7.6e-006	0	1	24579	0.271912554111749	0.910761053428294	0.99993975822933
none	none	1	1	7.6e-006	0	2	33678	0.281509298195303	0.910553527674903	0.999896465981635
none	none	1	1	7.6e-006	0	3	50688	0.283326125814086	0.910594440531997	0.999958683648316
none	none	1	1	7.6e-006	0	4	54171	0.265499457960166	0.910380695533743	0.999885076397527
none	none	1	1	7.6e-006	0	6	70872	0.264082326312838	0.909418199715431	0.999954401183696
none	none	1	1	7.6e-006	0	8	82433	0.226883765994155	0.908777184835412	0.99994878188955
none	none	1	1	7.6e-006	0	10	107945	0.238409184990481	0.908350897120352	0.99994706608543
none	periodic	1	1	7.6e-006	0	1	26244	0.224756677257594	0.906806761659613	0.99989857078891
none	periodic	1	1	7.6e-006	0	2	38495	0.233773246533248	0.906147140825078	0.999945026733572
none	periodic	1	1	7.6e-006	0	3	50041	0.234152530837394	0.905660690950406	0.999908110785012
none	periodic	1	1	7.6e-006	0	4	58893	0.234592199223759	0.905326908664564	0.999734825449698
none	periodic	1	1	7.6e-006	0	6	79984	0.225616635111647	0.904361550256935	0.999868727121974
none	periodic	1	1	7.6e-006	0	8	91121	0.199766184298822	0.902630612730073	0.999974166616885
none	periodic	1	1	7.6e-006	0	10	114488	0.195895241318175	0.90256955170451	0.999965756931429
none	fixed	1	1	7.6e-006	0	1	14443	0.286710981235306	0.908766803730747	0.999845390410723
none	fixed	1	1	7.6e-006	0	2	24242	0.301141287176193	0.910227373211805	0.999779518779445
none	fixed	1	1	7.6e-006	0	3	29919	0.301890966780663	0.911169284016305	0.999441528962019
none	fixed	1	1	7.6e-006	0	4	36398	0.30461026716338	0.911081183774072	0.999759583198902
none	fixed	1	1	7.6e-006	0	6	44421	0.308795215531745	0.910884640371637	0.999824771238377
none	fixed	1	1	7.6e-006	0	8	59072	0.308949156909623	0.910724698398331	0.999944687855129
none	fixed	1	1	7.6e-006	0	10	70408	0.308348930676584	0.910721235869642	0.999891109508502
